run_id,timestamp,tier,model,label,endpoint,topology,parallelism,context,batch,spec_decode,workload,metric,value,unit,notes
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T19:27:10,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,golden_gate,PASS,,golden gate PASSED: 73/73 cases
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T19:27:10,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,grader_git,700df0a,,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T19:27:10,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,served_model,Ternary-Bonsai-2-27B,,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T19:27:18,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,preflight_tool_probe,PASS,,get_weather
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T19:27:18,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,request_policy,uncapped,,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T19:27:18,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,request_timeout,120,s,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T19:27:18,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,runaway_char_window,4096,characters,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T19:27:18,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,runaway_phrase_window,8192,characters,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T19:27:18,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,runaway_abort_backend,disconnect,,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T22:27:46,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,quarantine,clean,,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T22:27:46,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,verified_flat,structured=1,,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T22:27:46,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,methodology,v6.8.3-full-uncapped,,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T22:27:46,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,run_valid,PASS,,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T22:27:46,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,error_rate,0.0,percent,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T22:27:46,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,repeats,2,count,
Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917-20260917-192616,2026-09-17T22:27:46,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-MacMini-M4-24GB-20260917,http://localhost:8092/v1,Mac-mini-M4-24GB-llama.cpp-prism-Metal,1,,,none,provenance,pass_at_1,90.8,percent,
